STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,20,29.5,23.91,6.7,9.6,7.83,7.68,8.44,8.2,302,684,441,2.5,6.9,4.83,0.69,2.1,1.09,2100,2800,2600,3500,8000,4958.33
1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,20.3,29.9,24.52,4.7,8.7,7.13,7.7,8.44,8.21,300,798,510.58,2.7,7.3,5.09,0.78,2.66,1.26,3000,4000,3450,6000,12000,9500
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,16,32,26.25,5.3,11.5,8.51,7.36,8.56,7.89,274.8,649.2,455.69,2.2,3.8,2.77,0.58,4.1,2.94,490,1100,812.5,2200,3500,2575
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,16,32,26.58,5.2,10.8,7.85,7.29,8.45,7.76,276,654.1,460.31,3,4.3,3.32,1.52,5.7,4.09,1300,3100,2133.33,2800,5400,4058.33
1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,19.2,29,24.93,7.3,8.6,7.88,7.72,8.52,8.2,230,278,250.5,2.8,3.5,3.2,NA,NA,NA,5000,8000,6783.33,8000,94000,16466.7
1071,GANGA AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,19.5,29.5,25.28,6.8,8.1,7.41,8,8.84,8.52,248,312,276.67,3.6,5.4,4.95,0,0.28,0.04,27000,33000,31666.7,34000,49000,45000
1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,18.7,29.5,25.06,6.8,9.8,7.61,8.12,8.9,8.46,240,509,288.25,3.4,3.9,3.67,0,10,0.83,11000,23000,14166.7,14000,38000,19250
2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,18,18,18,7.6,7.6,7.6,7.2,7.2,7.2,276,276,276,1.1,1.1,1.1,NA,NA,NA,90,90,90,150,150,150
3036,SHUKRA TAL (GANGA),UTTAR PRADESH,NA,NA,NA,NA,NA,NA,7.9,8,7.95,350,399,374.5,NA,NA,NA,NA,NA,NA,14000,14000,14000,33000,33000,33000
1074,"GANGA AT BUXAR,BIHAR",BIHAR,16,32,24.17,7.6,9.2,8.23,7.1,8.52,8.05,310,398,353.42,2.6,2.8,2.68,NA,NA,NA,1100,5000,2350,2800,16000,5700
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,15.2,32,24.35,7.4,9,8.1,7.1,8.4,7.92,310,468,361.5,2.4,7.8,3.22,NA,NA,NA,3000,9000,6166.67,9000,24000,19500
1077,"GANGA AT KHURJI, PATNA U/S",BIHAR,16,30,23.75,7.9,14.1,11.7,7.77,8.36,8.02,274,416,335.08,2.2,2.8,2.6,NA,NA,NA,1100,9000,2209.09,2400,16000,4163.64
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,14,34.5,24.3,7.5,8.4,7.95,7.6,8,7.83,226,735,309.9,2,2.8,2.46,NA,NA,NA,500,2200,960,1300,5000,2180
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,15,28,22.73,7.8,8.6,8.27,7.56,8.62,8.03,247,506,343.75,2.4,2.8,2.67,NA,NA,NA,170,3000,1405.83,2400,9000,4016.67
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,17,31,24.25,7.8,8.7,8.22,7.68,8.6,8.07,272,432,351.83,2.6,2.9,2.79,NA,NA,NA,3000,16000,7250,9000,24000,20750
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,17,31,24.29,7.8,8.6,8.15,7.81,8.37,8.08,276,426,357.5,2.6,3,2.81,NA,NA,NA,3000,9000,5166.67,9000,24000,15000
2555,"GANGA AT PUNPUN, PATNA",BIHAR,16,30,23.83,7,8.1,7.66,7.6,8.2,7.88,306,738,411,2.4,2.8,2.64,NA,NA,NA,800,2400,1308.33,2200,16000,4000
2553,GANGA AT FATUHA,BIHAR,16,31,23.83,7.8,8.8,8.33,7.82,8.41,8.12,271,436,343.83,2.4,2.8,2.59,NA,NA,NA,800,3000,1600,2200,9000,3750
1817,GANGA AT MOKAMA (U/S),BIHAR,16,32,23.82,6.8,8.6,8.02,7.8,8.2,7.99,280,384,324.73,2.2,2.7,2.52,NA,NA,NA,800,5000,1840,900,16000,4430
1815,GANGA AT MOKAMA (D/S),BIHAR,16,32,23.63,6.6,8.5,7.89,7.7,8.1,7.93,290,386,330,2.4,3,2.82,NA,NA,NA,1700,9000,5972.73,5000,24000,18636.4
